area,persistence,model,advantage
baiyangdian_new_area_holdout,0.9637850522994995,0.9723266363143921,0.008541584014892578
banzhucun,0.9713444709777832,0.965620756149292,-0.005723714828491211
beibu_gulf_urban_holdout,0.9739407896995544,0.9623028635978699,-0.01163792610168457
bishan,0.9781240224838257,0.972112774848938,-0.006011247634887695
bohai_delta,0.9931616187095642,0.98568195104599,-0.007479667663574219
changbai_lower_belt,0.9848293662071228,0.9501219987869263,-0.03470736742019653
changbai_margin_holdout,0.9810927510261536,0.9630388021469116,-0.018053948879241943
chengdu_plain,0.9429293870925903,0.93314129114151,-0.009788095951080322
dabie_forest_edge_holdout,0.9708799123764038,0.9528671503067017,-0.01801276206970215
daxinganling,0.9493598341941833,0.9332651495933533,-0.016094684600830078
dongting_lake_holdout,0.9103403091430664,0.9109177589416504,0.0005774497985839844
dongting_wetland,0.9122500419616699,0.9149249792098999,0.0026749372482299805
erhai_lake_margin,0.9800477027893066,0.973763108253479,-0.006284594535827637
erlong_lake_margin_holdout,0.934833824634552,0.9321203231811523,-0.002713501453399658
ezhou_lakeside_expansion_holdout,0.9723444581031799,0.9663891196250916,-0.005955338478088379
fuzhou_delta_urban_holdout,0.9628199338912964,0.9653069972991943,0.0024870634078979492
gobi_margin,0.9680879712104797,0.904233992099762,-0.06385397911071777
guanzhong,0.9847416877746582,0.9688239693641663,-0.015917718410491943
guizhou_karst,0.978550136089325,0.9480462670326233,-0.03050386905670166
haibei_plateau_holdout,0.9259435534477234,0.9257248044013977,-0.0002187490463256836
hainan_coastal,0.9624302387237549,0.9552145600318909,-0.007215678691864014
hengshui_lake_urban_edge_holdout,0.9635118246078491,0.9671149253845215,0.0036031007766723633
hetao,0.9543151259422302,0.9515058994293213,-0.0028092265129089355
hexi_irrigation_holdout,0.9355061054229736,0.886189341545105,-0.04931676387786865
honghu_lake_margin_holdout,0.9558827877044678,0.9514763355255127,-0.004406452178955078
huaibei_irrigation_plain_holdout,0.9693015217781067,0.9275301694869995,-0.04177135229110718
hulun_grassland_margin_holdout,0.9481233358383179,0.9336820244789124,-0.014441311359405518
jianghan_plain,0.9285070896148682,0.9328490495681763,0.0043419599533081055
jiangmen_estuary_newtown_holdout,0.9794769287109375,0.9675162434577942,-0.01196068525314331
jiaxing_ring_urban_holdout,0.9640249609947205,0.9435625672340393,-0.020462393760681152
jing_jin_ji,0.9855672121047974,0.9798200726509094,-0.0057471394538879395
kunshan_dense_edge_holdout,0.9706096053123474,0.9631153345108032,-0.0074942708015441895
liaohe_delta_wetland_holdout,0.959169328212738,0.9575337171554565,-0.0016356110572814941
minnan_coast,0.9857361316680908,0.9742932319641113,-0.011442899703979492
nanling_forest_edge_holdout,0.9773542284965515,0.9605280756950378,-0.016826152801513672
nanning_fringe_holdout,0.9697868227958679,0.9664887189865112,-0.0032981038093566895
ningbo_inner_bay_edge_holdout,0.9756009578704834,0.9696698188781738,-0.00593113899230957
north_china_plain,0.9575586318969727,0.9517978429794312,-0.005760788917541504
northeast_plain,0.9667250514030457,0.9557774066925049,-0.010947644710540771
ordos_desert_edge,0.93543541431427,0.9116515517234802,-0.023783862590789795
ordos_grassland_holdout,0.9097408652305603,0.9362559914588928,0.02651512622833252
pearl_river,0.980451226234436,0.9778867363929749,-0.0025644898414611816
poyang_lake,0.9449350237846375,0.9406274557113647,-0.004307568073272705
qinghai_edge,0.934650182723999,0.940341055393219,0.005690872669219971
qinling_mountain_holdout,0.9841408133506775,0.9631627202033997,-0.020978093147277832
qinling_south_slope,0.9845668077468872,0.939719557762146,-0.04484724998474121
renqiu_baiyangdian_edge_holdout,0.9776482582092285,0.978593647480011,0.0009453892707824707
sanjiang_plain_holdout,0.8759417533874512,0.8466379642486572,-0.029303789138793945
shenzhen_outer_holdout,0.9419447183609009,0.9345170259475708,-0.007427692413330078
songnen_plain_holdout,0.9226451516151428,0.8991970419883728,-0.02344810962677002
suzhou_fringe,0.981377899646759,0.9760813117027283,-0.005296587944030762
suzhou_fringe_holdout,0.9652342200279236,0.9591094851493835,-0.006124734878540039
taihu_marsh_edge_holdout,0.9856499433517456,0.9782934188842773,-0.007356524467468262
tarim_oasis,0.9535074830055237,0.8953381180763245,-0.05816936492919922
tarim_oasis_holdout,0.965241014957428,0.9234258532524109,-0.04181516170501709
tianjin_binhai_holdout,0.9322022199630737,0.9349821209907532,0.0027799010276794434
weihe_irrigation_margin_holdout,0.9661572575569153,0.9510337710380554,-0.015123486518859863
wenan_lakeplain_newtown_holdout,0.92396080493927,0.9258949160575867,0.0019341111183166504
west_sichuan_plateau_holdout,0.9738987684249878,0.9336094856262207,-0.04028928279876709
wuhan_outer_ring,0.9745603203773499,0.9684040546417236,-0.006156265735626221
wuhan_outer_ring_holdout,0.963043749332428,0.9628028273582458,-0.0002409219741821289
wumeng_mountains,0.9760193824768066,0.9681583642959595,-0.007861018180847168
wuxi_taihu_dense_edge_holdout,0.974657416343689,0.9661797285079956,-0.00847768783569336
wuyi_mountain,0.9850456118583679,0.9313018918037415,-0.053743720054626465
xiaoxinganling_holdout,0.9717859625816345,0.9541403651237488,-0.017645597457885742
xilingol_grassland_margin_holdout,0.9698054194450378,0.9381866455078125,-0.03161877393722534
xinxiang_floodplain_newtown_holdout,0.9658936262130737,0.9433712363243103,-0.022522389888763428
xiong_an_fringe_holdout,0.8851145505905151,0.882793128490448,-0.0023214221000671387
xiongxian_river_corridor_holdout,0.9726277589797974,0.9748122692108154,0.0021845102310180664
yancheng_coastal_new_district_holdout,0.9670016169548035,0.9460333585739136,-0.020968258380889893
yangtze_delta,0.9844828844070435,0.9799707531929016,-0.004512131214141846
yunnan_eco,0.9353968501091003,0.926200270652771,-0.009196579456329346
zhalong_wetland_edge_holdout,0.8700063824653625,0.8730117082595825,0.0030053257942199707
