cell_id,small_mul,large_mul,threshold,area,start_year,end_year,change_f1,fom,transition_accuracy,allocation_disagreement,tp,fp,fn,tn,n_valid
2,1.0,2.0,50000,nanling_forest_edge_holdout,2020,2021,0.10169491525423728,0.05357142857142857,0.1,0.1001890359168242,3,26,27,473,529
2,1.0,2.0,50000,nanning_fringe_holdout,2020,2021,0.36220472440944884,0.22115384615384615,0.1927710843373494,0.15311909262759923,23,21,60,425,529
2,1.0,2.0,50000,ningbo_inner_bay_edge_holdout,2020,2021,0.0851063829787234,0.044444444444444446,0.0,0.08128544423440454,2,24,19,484,529
2,1.0,2.0,50000,ordos_grassland_holdout,2020,2021,0.37974683544303794,0.234375,0.3333333333333333,0.08876811594202899,15,19,30,488,552
2,1.0,2.0,50000,poyang_lake,2020,2021,0.050420168067226885,0.02586206896551724,0.03260869565217391,0.21361058601134217,3,24,89,413,529
2,1.0,2.0,50000,qinling_mountain_holdout,2020,2021,0.2608695652173913,0.15,0.25,0.22495274102079396,21,56,63,389,529
2,1.0,2.0,50000,renqiu_baiyangdian_edge_holdout,2020,2021,0.273972602739726,0.15873015873015872,0.1276595744680851,0.1001890359168242,10,16,37,466,529
2,1.0,2.0,50000,sanjiang_plain_holdout,2020,2021,0.48837209302325585,0.3230769230769231,0.020512820512820513,0.2495274102079395,63,0,132,334,529
2,1.0,2.0,50000,shenzhen_outer_holdout,2020,2021,0.2564102564102564,0.14705882352941177,0.3076923076923077,0.054820415879017016,5,21,8,495,529
2,1.0,2.0,50000,songnen_plain_holdout,2020,2021,0.3148148148148148,0.18681318681318682,0.17763157894736842,0.27977315689981097,34,30,118,347,529
2,1.0,2.0,50000,suzhou_fringe_holdout,2020,2021,0.1518987341772152,0.0821917808219178,0.0851063829787234,0.1266540642722117,6,26,41,456,529
2,1.0,2.0,50000,taihu_marsh_edge_holdout,2020,2021,0.0,0.0,0.0,0.0,0,0,0,529,529
2,1.0,2.0,50000,tarim_oasis_holdout,2020,2021,0.39024390243902435,0.24242424242424243,0.24,0.0945179584120983,16,16,34,463,529
2,1.0,2.0,50000,tianjin_binhai_holdout,2020,2021,0.19047619047619044,0.10526315789473684,0.10204081632653061,0.12318840579710146,8,27,41,476,552
2,1.0,2.0,50000,weihe_irrigation_margin_holdout,2020,2021,0.23853211009174313,0.13541666666666666,0.13846153846153847,0.1503623188405797,13,31,52,456,552
2,1.0,2.0,50000,wenan_lakeplain_newtown_holdout,2020,2021,0.05555555555555555,0.02857142857142857,0.1,0.06427221172022685,1,25,9,494,529
2,1.0,2.0,50000,west_sichuan_plateau_holdout,2020,2021,0.24793388429752067,0.14150943396226415,0.11864406779661017,0.1720226843100189,15,47,44,423,529
2,1.0,2.0,50000,wuhan_outer_ring_holdout,2020,2021,0.2653061224489796,0.15294117647058825,0.2,0.13610586011342155,13,25,47,444,529
2,1.0,2.0,50000,wuxi_taihu_dense_edge_holdout,2020,2021,0.22641509433962265,0.1276595744680851,0.1111111111111111,0.07750472589792061,6,20,21,482,529
2,1.0,2.0,50000,wuyi_mountain,2020,2021,0.0,0.0,0.0,0.003780718336483932,0,2,0,527,529
2,1.0,2.0,50000,xiaoxinganling_holdout,2020,2021,0.20000000000000004,0.1111111111111111,0.14285714285714285,0.09722222222222222,7,28,28,513,576
