cell_id,small_mul,large_mul,threshold,n,change_f1_mean,fom_mean,transition_accuracy_mean,allocation_disagreement_mean,change_f1_std,fom_std,transition_accuracy_std,allocation_disagreement_std
24,1.5,4.0,100000,55,0.25505798145132996,0.15428761831133064,0.21198238301133734,0.13885633994466895,0.14228463657555326,0.10238659616324869,0.1689374422303807,0.07703394543618379
25,2.0,2.0,30000,55,0.2749119085256014,0.16762995503774747,0.2526872628686716,0.15208370289503867,0.1423971519146511,0.10306793974711005,0.17939229937917356,0.08081201583097383
26,2.0,2.0,50000,55,0.2749119085256014,0.16762995503774747,0.2526872628686716,0.15208370289503867,0.1423971519146511,0.10306793974711005,0.17939229937917356,0.08081201583097383
27,2.0,2.0,70000,55,0.2749119085256014,0.16762995503774747,0.2526872628686716,0.15208370289503867,0.1423971519146511,0.10306793974711005,0.17939229937917356,0.08081201583097383
28,2.0,2.0,100000,55,0.2749119085256014,0.16762995503774747,0.2526872628686716,0.15208370289503867,0.1423971519146511,0.10306793974711005,0.17939229937917356,0.08081201583097383
29,2.0,3.0,30000,55,0.27602957751246604,0.16847474307462101,0.2539140397050759,0.153132113142425,0.14316343103592577,0.10359110801242181,0.17888985501670415,0.08207778816992368
30,2.0,3.0,50000,55,0.27602957751246604,0.16847474307462101,0.2539140397050759,0.153132113142425,0.14316343103592577,0.10359110801242181,0.17888985501670415,0.08207778816992368
31,2.0,3.0,70000,55,0.27602957751246604,0.16847474307462101,0.2539140397050759,0.153132113142425,0.14316343103592577,0.10359110801242181,0.17888985501670415,0.08207778816992368
32,2.0,3.0,100000,55,0.27602957751246604,0.16847474307462101,0.2539140397050759,0.153132113142425,0.14316343103592577,0.10359110801242181,0.17888985501670415,0.08207778816992368
33,2.0,4.0,30000,55,0.27614586614254744,0.16856240403988698,0.25420182561123295,0.1535835506953781,0.14324205570954193,0.10364224488107115,0.17876056628191136,0.08261202327442045
34,2.0,4.0,50000,55,0.27614586614254744,0.16856240403988698,0.25420182561123295,0.1535835506953781,0.14324205570954193,0.10364224488107115,0.17876056628191136,0.08261202327442045
35,2.0,4.0,70000,55,0.27614586614254744,0.16856240403988698,0.25420182561123295,0.1535835506953781,0.14324205570954193,0.10364224488107115,0.17876056628191136,0.08261202327442045
36,2.0,4.0,100000,55,0.27614586614254744,0.16856240403988698,0.25420182561123295,0.1535835506953781,0.14324205570954193,0.10364224488107115,0.17876056628191136,0.08261202327442045
