area,step,persistence,model,advantage
banzhucun,1,0.987960696220398,0.9876546263694763,-0.00030606985092163086
banzhucun,2,0.982933759689331,0.9743788838386536,-0.00855487585067749
banzhucun,3,0.9652450084686279,0.955094039440155,-0.0101509690284729
banzhucun,4,0.9705543518066406,0.9456090331077576,-0.024945318698883057
banzhucun,5,0.940384030342102,0.9245675206184387,-0.01581650972366333
banzhucun,6,0.9680826663970947,0.9231405854225159,-0.04494208097457886
bishan,1,0.9863331317901611,0.9854469299316406,-0.0008862018585205078
bishan,2,0.979451060295105,0.968255877494812,-0.011195182800292969
bishan,3,0.9652267694473267,0.9493007659912109,-0.015926003456115723
bishan,4,0.9643523693084717,0.9313121438026428,-0.03304022550582886
bishan,5,0.9356510639190674,0.9074443578720093,-0.028206706047058105
bishan,6,0.9563474655151367,0.9014540314674377,-0.054893434047698975
bohai_delta,1,0.9837031960487366,0.9729236960411072,-0.010779500007629395
bohai_delta,2,0.9817032814025879,0.9470142126083374,-0.03468906879425049
bohai_delta,3,0.9839289784431458,0.9327481985092163,-0.05118077993392944
bohai_delta,4,0.9755949974060059,0.9019978642463684,-0.07359713315963745
bohai_delta,5,0.9801207780838013,0.8710883855819702,-0.10903239250183105
bohai_delta,6,0.98654705286026,0.8447440266609192,-0.14180302619934082
changbai_lower_belt,1,0.9847864508628845,0.9607555866241455,-0.024030864238739014
changbai_lower_belt,2,0.980758786201477,0.8862788081169128,-0.09447997808456421
changbai_lower_belt,3,0.9767324924468994,0.8166922330856323,-0.1600402593612671
changbai_lower_belt,4,0.9785760045051575,0.7420664429664612,-0.2365095615386963
changbai_lower_belt,5,0.9742645621299744,0.6486068964004517,-0.3256576657295227
changbai_lower_belt,6,0.9771143794059753,0.5963400602340698,-0.3807743191719055
chengdu_plain,1,0.9447618722915649,0.9413819313049316,-0.0033799409866333008
chengdu_plain,2,0.9343746304512024,0.9248342514038086,-0.009540379047393799
chengdu_plain,3,0.9300121068954468,0.9074006080627441,-0.022611498832702637
chengdu_plain,4,0.9362151622772217,0.880959689617157,-0.0552554726600647
